,Currency,Current Amount,Day Advertised,Day Tracker,ID,Initial Amount,Rate Offered,Sale Tracker
0,USD,8907.585015791798,0,"0, 1, 2, 3, 4, 5, 6, 7",100,8907.585015791798,1.0089593408021382,"8907.585015791798, 8907.585015791798, 8907.585015791798, 8907.585015791798, 8907.585015791798, 8907.585015791798, 8907.585015791798, 8907.585015791798"
1,USD,9838.287169959689,0,"0, 1, 2, 3, 4, 5, 6, 7",102,9838.287169959689,1.0074184374840087,"9838.287169959689, 9838.287169959689, 9838.287169959689, 9838.287169959689, 9838.287169959689, 9838.287169959689, 9838.287169959689, 9838.287169959689"
2,USD,757.1027780852702,0,"0, 1, 2, 3, 4, 5, 6, 7",109,757.1027780852702,1.0112540303697493,"757.1027780852702, 757.1027780852702, 757.1027780852702, 757.1027780852702, 757.1027780852702, 757.1027780852702, 757.1027780852702, 757.1027780852702"
3,USD,13643.919397499616,0,"0, 1, 2, 3, 4, 5, 6, 7",115,13643.919397499616,1.011001380417167,"13643.919397499616, 13643.919397499616, 13643.919397499616, 13643.919397499616, 13643.919397499616, 13643.919397499616, 13643.919397499616, 13643.919397499616"
4,USD,25685.424070799756,0,"0, 1, 2, 3, 4, 5, 6, 7",119,25685.424070799756,1.0087971532316085,"25685.424070799756, 25685.424070799756, 25685.424070799756, 25685.424070799756, 25685.424070799756, 25685.424070799756, 25685.424070799756, 25685.424070799756"
5,USD,31596.392171599084,0,"0, 1, 2, 3, 4, 5, 6, 7",120,31596.392171599084,1.011882454305879,"31596.392171599084, 31596.392171599084, 31596.392171599084, 31596.392171599084, 31596.392171599084, 31596.392171599084, 31596.392171599084, 31596.392171599084"
6,USD,10043.72647229863,0,"0, 1, 2, 3, 4, 5, 6, 7",126,10043.72647229863,1.005332850050471,"10043.72647229863, 10043.72647229863, 10043.72647229863, 10043.72647229863, 10043.72647229863, 10043.72647229863, 10043.72647229863, 10043.72647229863"
7,USD,1866.8802322490476,0,"0, 1, 2, 3, 4, 5, 6, 7",128,1866.8802322490476,1.0099460961408202,"1866.8802322490476, 1866.8802322490476, 1866.8802322490476, 1866.8802322490476, 1866.8802322490476, 1866.8802322490476, 1866.8802322490476, 1866.8802322490476"
8,USD,4755.762458690158,0,"0, 1, 2, 3, 4, 5, 6, 7",130,4755.762458690158,1.0129108128004403,"4755.762458690158, 4755.762458690158, 4755.762458690158, 4755.762458690158, 4755.762458690158, 4755.762458690158, 4755.762458690158, 4755.762458690158"
9,USD,23020.35696471709,0,"0, 1, 2, 3, 4, 5, 6, 7",131,23020.35696471709,1.015161510815446,"23020.35696471709, 23020.35696471709, 23020.35696471709, 23020.35696471709, 23020.35696471709, 23020.35696471709, 23020.35696471709, 23020.35696471709"
10,USD,23135.279825234935,0,"0, 1, 2, 3, 4, 5, 6, 7",132,23135.279825234935,1.0064535523249696,"23135.279825234935, 23135.279825234935, 23135.279825234935, 23135.279825234935, 23135.279825234935, 23135.279825234935, 23135.279825234935, 23135.279825234935"
11,USD,9640.32949115561,0,"0, 1, 2, 3, 4, 5, 6, 7",135,9640.32949115561,1.010212060902112,"9640.32949115561, 9640.32949115561, 9640.32949115561, 9640.32949115561, 9640.32949115561, 9640.32949115561, 9640.32949115561, 9640.32949115561"
12,USD,11905.208283836717,0,"0, 1, 2, 3, 4, 5, 6, 7",136,11905.208283836717,1.0106621049274924,"11905.208283836717, 11905.208283836717, 11905.208283836717, 11905.208283836717, 11905.208283836717, 11905.208283836717, 11905.208283836717, 11905.208283836717"
13,USD,10356.078335370017,0,"0, 1, 2, 3, 4, 5, 6, 7",137,10356.078335370017,1.0061518354039636,"10356.078335370017, 10356.078335370017, 10356.078335370017, 10356.078335370017, 10356.078335370017, 10356.078335370017, 10356.078335370017, 10356.078335370017"
14,USD,11548.911058762325,0,"0, 1, 2, 3, 4, 5, 6, 7",138,11548.911058762325,1.0099211966655877,"11548.911058762325, 11548.911058762325, 11548.911058762325, 11548.911058762325, 11548.911058762325, 11548.911058762325, 11548.911058762325, 11548.911058762325"
15,USD,19363.91159213317,0,"0, 1, 2, 3, 4, 5, 6, 7",141,19363.91159213317,1.0119888190947146,"19363.91159213317, 19363.91159213317, 19363.91159213317, 19363.91159213317, 19363.91159213317, 19363.91159213317, 19363.91159213317, 19363.91159213317"
16,USD,5017.207709743468,0,"0, 1, 2, 3, 4, 5, 6, 7",144,5017.207709743468,1.0068581384814153,"5017.207709743468, 5017.207709743468, 5017.207709743468, 5017.207709743468, 5017.207709743468, 5017.207709743468, 5017.207709743468, 5017.207709743468"
17,USD,17581.7659301074,0,"0, 1, 2, 3, 4, 5, 6, 7",147,17581.7659301074,1.0078394641586632,"17581.7659301074, 17581.7659301074, 17581.7659301074, 17581.7659301074, 17581.7659301074, 17581.7659301074, 17581.7659301074, 17581.7659301074"
18,USD,3776.077138928953,0,"0, 1, 2, 3, 4, 5, 6, 7",148,3776.077138928953,1.0109714509216494,"3776.077138928953, 3776.077138928953, 3776.077138928953, 3776.077138928953, 3776.077138928953, 3776.077138928953, 3776.077138928953, 3776.077138928953"
19,USD,1847.2528214127947,0,"0, 1, 2, 3, 4, 5, 6, 7",151,1847.2528214127947,1.0131886845281264,"1847.2528214127947, 1847.2528214127947, 1847.2528214127947, 1847.2528214127947, 1847.2528214127947, 1847.2528214127947, 1847.2528214127947, 1847.2528214127947"
20,USD,1082.404983851998,0,"0, 1, 2, 3, 4, 5, 6, 7",152,1082.404983851998,1.008837293897757,"1082.404983851998, 1082.404983851998, 1082.404983851998, 1082.404983851998, 1082.404983851998, 1082.404983851998, 1082.404983851998, 1082.404983851998"
21,USD,9850.09059831771,0,"0, 1, 2, 3, 4, 5, 6, 7",156,9850.09059831771,1.015491851358863,"9850.09059831771, 9850.09059831771, 9850.09059831771, 9850.09059831771, 9850.09059831771, 9850.09059831771, 9850.09059831771, 9850.09059831771"
22,USD,23276.835025697153,0,"0, 1, 2, 3, 4, 5, 6, 7",158,23276.835025697153,1.0069240838510498,"23276.835025697153, 23276.835025697153, 23276.835025697153, 23276.835025697153, 23276.835025697153, 23276.835025697153, 23276.835025697153, 23276.835025697153"
23,USD,4468.043165712432,0,"0, 1, 2, 3, 4, 5, 6, 7",166,4468.043165712432,1.0054725368614652,"4468.043165712432, 4468.043165712432, 4468.043165712432, 4468.043165712432, 4468.043165712432, 4468.043165712432, 4468.043165712432, 4468.043165712432"
24,USD,5343.421027863775,0,"0, 1, 2, 3, 4, 5, 6, 7",171,5343.421027863775,1.0293556398097974,"5343.421027863775, 5343.421027863775, 5343.421027863775, 5343.421027863775, 5343.421027863775, 5343.421027863775, 5343.421027863775, 5343.421027863775"
25,USD,6071.303173483292,0,"0, 1, 2, 3, 4, 5, 6, 7",177,6071.303173483292,1.012689052550452,"6071.303173483292, 6071.303173483292, 6071.303173483292, 6071.303173483292, 6071.303173483292, 6071.303173483292, 6071.303173483292, 6071.303173483292"
26,USD,2040.2676738544571,0,"0, 1, 2, 3, 4, 5, 6, 7",182,2040.2676738544571,1.0117216024460953,"2040.2676738544571, 2040.2676738544571, 2040.2676738544571, 2040.2676738544571, 2040.2676738544571, 2040.2676738544571, 2040.2676738544571, 2040.2676738544571"
27,USD,16367.62374276678,0,"0, 1, 2, 3, 4, 5, 6, 7",184,16367.62374276678,1.0258858497440846,"16367.62374276678, 16367.62374276678, 16367.62374276678, 16367.62374276678, 16367.62374276678, 16367.62374276678, 16367.62374276678, 16367.62374276678"
28,USD,4350.434106372812,0,"0, 1, 2, 3, 4, 5, 6, 7",188,4350.434106372812,1.0090053022593841,"4350.434106372812, 4350.434106372812, 4350.434106372812, 4350.434106372812, 4350.434106372812, 4350.434106372812, 4350.434106372812, 4350.434106372812"
29,USD,1162.9876052728014,0,"0, 1, 2, 3, 4, 5, 6, 7",189,1162.9876052728014,1.0112040405187013,"1162.9876052728014, 1162.9876052728014, 1162.9876052728014, 1162.9876052728014, 1162.9876052728014, 1162.9876052728014, 1162.9876052728014, 1162.9876052728014"
30,USD,1565.5228697989623,0,"0, 1, 2, 3, 4, 5, 6, 7",191,1565.5228697989623,1.0073068961998317,"1565.5228697989623, 1565.5228697989623, 1565.5228697989623, 1565.5228697989623, 1565.5228697989623, 1565.5228697989623, 1565.5228697989623, 1565.5228697989623"
31,USD,2729.8094002137536,0,"0, 1, 2, 3, 4, 5, 6, 7",196,2729.8094002137536,1.0146171940452915,"2729.8094002137536, 2729.8094002137536, 2729.8094002137536, 2729.8094002137536, 2729.8094002137536, 2729.8094002137536, 2729.8094002137536, 2729.8094002137536"
32,USD,11678.52477277571,1,"1, 2, 3, 4, 5, 6, 7, 8",297,11678.52477277571,1.0106205967067952,"11678.52477277571, 11678.52477277571, 11678.52477277571, 11678.52477277571, 11678.52477277571, 11678.52477277571, 11678.52477277571, 11678.52477277571"
33,USD,33259.672546168586,1,"1, 2, 3, 4, 5, 6, 7, 8",305,33259.672546168586,1.0097580195097364,"33259.672546168586, 33259.672546168586, 33259.672546168586, 33259.672546168586, 33259.672546168586, 33259.672546168586, 33259.672546168586, 33259.672546168586"
34,USD,66452.58828370435,1,"1, 2, 3, 4, 5, 6, 7, 8",315,66452.58828370435,1.01111367449319,"66452.58828370435, 66452.58828370435, 66452.58828370435, 66452.58828370435, 66452.58828370435, 66452.58828370435, 66452.58828370435, 66452.58828370435"
35,USD,2838.7245258349108,1,"1, 2, 3, 4, 5, 6, 7, 8",319,2838.7245258349108,1.0199481022743704,"2838.7245258349108, 2838.7245258349108, 2838.7245258349108, 2838.7245258349108, 2838.7245258349108, 2838.7245258349108, 2838.7245258349108, 2838.7245258349108"
36,USD,1628.0395557975298,1,"1, 2, 3, 4, 5, 6, 7, 8",322,1628.0395557975298,1.0054267314418714,"1628.0395557975298, 1628.0395557975298, 1628.0395557975298, 1628.0395557975298, 1628.0395557975298, 1628.0395557975298, 1628.0395557975298, 1628.0395557975298"
37,USD,28255.581844721306,1,"1, 2, 3, 4, 5, 6, 7, 8",324,28255.581844721306,1.0067017345556657,"28255.581844721306, 28255.581844721306, 28255.581844721306, 28255.581844721306, 28255.581844721306, 28255.581844721306, 28255.581844721306, 28255.581844721306"
38,USD,2275.904185874257,1,"1, 2, 3, 4, 5, 6, 7, 8",328,2275.904185874257,1.011739298776383,"2275.904185874257, 2275.904185874257, 2275.904185874257, 2275.904185874257, 2275.904185874257, 2275.904185874257, 2275.904185874257, 2275.904185874257"
39,USD,4834.835702792792,1,"1, 2, 3, 4, 5, 6, 7, 8",333,4834.835702792792,1.0113840597200503,"4834.835702792792, 4834.835702792792, 4834.835702792792, 4834.835702792792, 4834.835702792792, 4834.835702792792, 4834.835702792792, 4834.835702792792"
40,USD,6718.325337674919,1,"1, 2, 3, 4, 5, 6, 7, 8",334,6718.325337674919,1.0051130070108614,"6718.325337674919, 6718.325337674919, 6718.325337674919, 6718.325337674919, 6718.325337674919, 6718.325337674919, 6718.325337674919, 6718.325337674919"
41,USD,11406.656883493493,1,"1, 2, 3, 4, 5, 6, 7, 8",337,11406.656883493493,1.0147845563649487,"11406.656883493493, 11406.656883493493, 11406.656883493493, 11406.656883493493, 11406.656883493493, 11406.656883493493, 11406.656883493493, 11406.656883493493"
42,USD,6405.770809534774,1,"1, 2, 3, 4, 5, 6, 7, 8",338,6405.770809534774,1.013570013553817,"6405.770809534774, 6405.770809534774, 6405.770809534774, 6405.770809534774, 6405.770809534774, 6405.770809534774, 6405.770809534774, 6405.770809534774"
43,USD,33651.77031849475,1,"1, 2, 3, 4, 5, 6, 7, 8",340,33651.77031849475,1.014029815294023,"33651.77031849475, 33651.77031849475, 33651.77031849475, 33651.77031849475, 33651.77031849475, 33651.77031849475, 33651.77031849475, 33651.77031849475"
44,USD,24493.29435460588,1,"1, 2, 3, 4, 5, 6, 7, 8",353,24493.29435460588,1.0100237434534465,"24493.29435460588, 24493.29435460588, 24493.29435460588, 24493.29435460588, 24493.29435460588, 24493.29435460588, 24493.29435460588, 24493.29435460588"
45,USD,13151.60671929461,1,"1, 2, 3, 4, 5, 6, 7, 8",354,13151.60671929461,1.0217920857837537,"13151.60671929461, 13151.60671929461, 13151.60671929461, 13151.60671929461, 13151.60671929461, 13151.60671929461, 13151.60671929461, 13151.60671929461"
46,USD,6171.082130631702,1,"1, 2, 3, 4, 5, 6, 7, 8",362,6171.082130631702,1.0050453228137712,"6171.082130631702, 6171.082130631702, 6171.082130631702, 6171.082130631702, 6171.082130631702, 6171.082130631702, 6171.082130631702, 6171.082130631702"
47,USD,45728.12648972064,1,"1, 2, 3, 4, 5, 6, 7, 8",366,45728.12648972064,1.0074861353178217,"45728.12648972064, 45728.12648972064, 45728.12648972064, 45728.12648972064, 45728.12648972064, 45728.12648972064, 45728.12648972064, 45728.12648972064"
48,USD,1611.7527340753463,1,"1, 2, 3, 4, 5, 6, 7, 8",368,1611.7527340753463,1.0086103674255131,"1611.7527340753463, 1611.7527340753463, 1611.7527340753463, 1611.7527340753463, 1611.7527340753463, 1611.7527340753463, 1611.7527340753463, 1611.7527340753463"
49,USD,11077.768802862429,1,"1, 2, 3, 4, 5, 6, 7, 8",370,11077.768802862429,1.0103572961646903,"11077.768802862429, 11077.768802862429, 11077.768802862429, 11077.768802862429, 11077.768802862429, 11077.768802862429, 11077.768802862429, 11077.768802862429"
50,USD,2199.824058369982,1,"1, 2, 3, 4, 5, 6, 7, 8",378,2199.824058369982,1.0144318695128554,"2199.824058369982, 2199.824058369982, 2199.824058369982, 2199.824058369982, 2199.824058369982, 2199.824058369982, 2199.824058369982, 2199.824058369982"
51,USD,18479.618381305638,1,"1, 2, 3, 4, 5, 6, 7, 8",382,18479.618381305638,1.0076116970864353,"18479.618381305638, 18479.618381305638, 18479.618381305638, 18479.618381305638, 18479.618381305638, 18479.618381305638, 18479.618381305638, 18479.618381305638"
52,USD,7843.911733764581,1,"1, 2, 3, 4, 5, 6, 7, 8",395,7843.911733764581,1.0073133400854084,"7843.911733764581, 7843.911733764581, 7843.911733764581, 7843.911733764581, 7843.911733764581, 7843.911733764581, 7843.911733764581, 7843.911733764581"
53,USD,4827.289339700075,1,"1, 2, 3, 4, 5, 6, 7, 8",396,4827.289339700075,1.0144249992536136,"4827.289339700075, 4827.289339700075, 4827.289339700075, 4827.289339700075, 4827.289339700075, 4827.289339700075, 4827.289339700075, 4827.289339700075"
54,USD,4670.193017807942,2,"2, 3, 4, 5, 6, 7, 8, 9",497,4670.193017807942,0.9873761534985935,"4670.193017807942, 4670.193017807942, 4670.193017807942, 4670.193017807942, 4670.193017807942, 4670.193017807942, 4670.193017807942, 4670.193017807942"
55,USD,9030.483890930995,2,"2, 3, 4, 5, 6, 7, 8, 9",498,9030.483890930995,0.9841659007472009,"9030.483890930995, 9030.483890930995, 9030.483890930995, 9030.483890930995, 9030.483890930995, 9030.483890930995, 9030.483890930995, 9030.483890930995"
56,USD,8240.41712930078,2,"2, 3, 4, 5, 6, 7, 8, 9",499,8240.41712930078,0.98524776261317,"8240.41712930078, 8240.41712930078, 8240.41712930078, 8240.41712930078, 8240.41712930078, 8240.41712930078, 8240.41712930078, 8240.41712930078"
