Day,EUR sales,USD sales,USD to EUR rate
61,0.72,0.89,0.976196233421
62,0.69,1.06,0.982345844754
63,0.87,0.77,0.979415426916
64,0.66,1.01,0.984016664532
65,0.66,1.01,1.00132040985
66,0.69,0.96,1.03748226579
67,0.63,0.84,1.05078135919
68,0.68,1.01,1.06576579674
69,0.62,0.97,1.0666900976
70,0.78,1.49,1.06319154118
71,1.21,1.34,1.05691713163
72,1.25,1.0,1.04880251824
73,1.38,0.95,1.03470911937
74,0.88,0.72,1.02706741168
75,1.25,0.63,1.01614604738
76,0.73,0.9,1.02804927974
77,0.95,0.75,1.0185860957
78,0.89,0.62,1.00143703497
79,0.67,0.68,1.01418546914
80,0.65,1.19,1.02336265526
81,1.0,0.72,0.999071331645
82,1.21,0.63,0.989985818912
83,1.03,0.87,0.999583281219
84,0.82,0.77,0.998451957326
85,1.23,0.7,0.963815686373
86,0.96,0.83,0.967769962199
87,0.94,0.64,0.959449245595
88,0.9,1.08,0.970239357508
89,0.75,0.78,0.984442530683
90,0.65,1.11,0.991299127395
91,0.66,1.06,0.998826941629
92,0.77,0.94,0.997302029162
93,0.68,1.18,1.00616263371
94,1.18,0.76,0.993367912683
95,0.61,0.82,0.998454307948
96,0.79,0.68,0.985001721341
97,0.71,0.67,0.998918463797
98,0.7,1.23,1.00215312319
99,1.15,0.69,0.989428610248
100,1.26,0.61,0.973849387691
101,0.77,0.69,0.955026844031
102,1.04,0.7,0.926499204949
103,0.81,0.67,0.907929324085
104,0.85,0.63,0.894880499417
105,1.17,0.93,0.915953749939
106,1.04,0.95,0.944378298695
107,1.1,1.28,0.956634843844
108,0.9,0.88,0.957253050607
109,0.67,1.11,0.986875174433
110,0.68,1.24,0.99447678364
111,0.95,0.68,0.982378292548
112,0.74,0.83,0.983219766782
113,0.74,1.15,0.989993409766
114,0.95,0.76,0.982402174816
115,0.78,0.71,0.982146510417
116,0.78,1.04,0.993495109472
117,0.74,0.93,0.996870861169
118,0.68,0.9,0.99739886018
119,1.02,0.69,0.965603338026
120,1.06,0.82,0.977378556634
121,0.78,0.63,0.973156306177
122,0.89,0.68,0.970311435021
123,0.55,0.86,1.00208675953
124,0.71,0.9,1.03699630092
125,0.91,0.95,1.0130234414
126,0.73,1.32,1.03127711094
127,0.93,0.86,1.01516175052
128,1.08,0.96,1.00450805495
129,0.65,0.97,1.00775435673
130,1.2,0.72,0.993817460389
131,1.06,0.74,0.99713807177
132,0.91,0.78,0.987531911953
133,1.41,0.67,0.9737678429
134,0.65,0.82,0.987998818824
135,0.67,0.79,1.00351937284
136,0.61,1.16,1.00771877134
137,0.64,0.95,1.04363730956
138,1.04,1.35,1.02941744281
139,0.7,0.91,1.04497903722
140,0.67,0.55,1.04784533086
141,0.72,0.99,1.06255978525
142,0.75,0.86,1.09093833244
143,0.81,1.12,1.09810385071
144,0.72,1.06,1.09478002057
145,1.25,1.0,1.08005531575
146,0.69,0.93,1.08319363548
147,0.9,1.16,1.07871770525
148,0.75,0.63,1.08303149142
149,0.72,0.82,1.09537213757
