Day,EUR sales,USD sales,USD to EUR rate
8,0.95,0.61,0.94382697315
9,0.691666666667,0.56,0.928384704913
10,0.475,0.79,0.93418396851
11,0.975,0.62,0.930743910564
12,0.841666666667,1.09,0.942683241402
13,0.591666666667,0.65,0.93079034501
14,0.558333333333,0.88,0.927235201217
15,0.591666666667,0.94,0.93327055397
16,0.775,0.78,0.929906603934
17,0.625,0.79,0.925990757569
18,0.608333333333,1.7,0.949375275711
19,0.783333333333,0.69,0.939364924831
20,0.666666666667,0.87,0.94231121729
21,0.291666666667,0.69,0.933048006335
22,0.633333333333,1.63,0.957610469911
23,0.841666666667,0.55,0.943582513125
24,0.65,1.01,0.952065059251
25,0.483333333333,0.64,0.953895978521
26,0.725,1.3,0.960801198699
27,0.608333333333,1.25,0.97056330683
28,0.666666666667,1.05,0.996989625101
29,0.683333333333,0.58,1.00026769616
30,0.658333333333,0.74,0.997802711862
31,0.641666666667,0.49,0.997349996638
32,0.791666666667,0.4,0.987987255469
33,0.825,0.74,0.99728336494
34,0.7,1.78,1.01549016846
35,0.708333333333,0.82,1.02322050673
36,0.466666666667,0.79,1.03287417349
37,0.683333333333,0.72,1.01366786945
38,0.583333333333,0.89,1.00553147126
39,0.95,0.67,0.99698702973
40,0.875,0.6,0.985269331622
41,0.625,0.78,0.969058613385
42,0.441666666667,0.49,0.946841454028
43,0.75,0.56,0.942904762348
44,0.691666666667,0.6,0.924710159685
45,0.566666666667,0.86,0.914438627398
46,0.808333333333,0.47,0.911717613901
47,0.766666666667,0.51,0.907698738107
48,0.725,0.89,0.914004214613
49,0.641666666667,0.87,0.898094487047
50,0.616666666667,0.73,0.873572568918
51,0.608333333333,1.01,0.897808220067
52,0.516666666667,0.71,0.900371840142
53,0.483333333333,1.3,0.910940439241
54,0.716666666667,0.77,0.898863590014
55,0.666666666667,0.86,0.911226749167
56,0.325,0.47,0.907512931531
57,0.941666666667,0.23,0.89231115779
58,0.625,0.68,0.896638303468
59,0.65,0.73,0.890563565447
60,0.566666666667,1.04,0.870808415409
61,0.641666666667,0.62,0.869760697937
62,0.6,0.61,0.85317966198
63,0.616666666667,0.74,0.834043925631
64,0.758333333333,0.61,0.834912492139
65,0.641666666667,0.73,0.817863142023
66,0.475,0.83,0.830082577212
67,0.191666666667,0.66,0.828776550339
68,0.475,1.17,0.841025959668
69,0.458333333333,0.78,0.832365845705
70,0.641666666667,1.6,0.851771212232
71,0.691666666667,1.92,0.8616043017
72,0.566666666667,1.26,0.860460074587
73,0.5,0.53,0.849317965974
74,0.783333333333,0.65,0.849946477398
75,0.608333333333,0.87,0.852652008369
76,0.608333333333,0.56,0.850366695746
77,1.05833333333,0.97,0.853793541463
78,0.733333333333,0.84,0.854009492302
79,0.65,0.78,0.852570735817
80,0.541666666667,1.43,0.856989594538
81,0.575,1.29,0.873293259828
82,0.616666666667,1.85,0.895978052461
83,0.625,1.24,0.924978171441
84,0.708333333333,0.99,0.955771238509
85,0.65,0.66,0.96238266623
86,0.725,0.84,0.949645461885
87,0.416666666667,0.95,0.961706735248
88,0.441666666667,0.77,0.939786491886
89,0.425,0.87,0.946758236824
90,0.625,0.68,0.919810990919
91,0.475,0.58,0.892599096562
92,0.7,0.93,0.911078792355
93,0.5,0.57,0.907268942556
94,0.591666666667,0.82,0.911369102458
95,0.433333333333,0.61,0.903171353053
96,0.541666666667,1.26,0.917398340051
97,0.775,0.8,0.89429438615
98,1.175,1.05,0.917436380569
99,0.625,1.48,0.926757477035
100,0.791666666667,1.19,0.948447572635
101,0.8,1.06,0.973591186485
102,0.75,0.79,0.943801532532
103,0.566666666667,0.77,0.940511960308
104,0.716666666667,0.32,0.933677599834
105,0.583333333333,0.6,0.920699379656
106,0.716666666667,0.58,0.89590729243
107,0.916666666667,0.88,0.899757732585
108,0.391666666667,0.74,0.908611421644
109,0.733333333333,0.85,0.914941599264
110,0.491666666667,0.95,0.927991543115
111,0.533333333333,1.22,0.937840803175
112,0.6,1.03,0.958293575771
113,1.01666666667,0.66,0.940937545898
114,0.741666666667,0.82,0.93116942345
115,0.466666666667,0.63,0.920777029824
116,0.666666666667,1.26,0.946913001354
117,0.458333333333,0.88,0.960581881856
118,0.616666666667,1.05,0.962349207266
119,0.733333333333,0.48,0.961399254177
120,0.808333333333,1.07,0.965629263388
121,0.65,0.46,0.956689721324
122,0.591666666667,0.77,0.953946747857
123,0.525,0.72,0.953171936294
124,0.575,1.17,0.986572334976
125,0.75,1.27,0.984328814221
126,1.03333333333,0.63,0.963490289815
127,0.575,0.75,0.967527847092
128,0.458333333333,0.84,0.963036774032
129,0.733333333333,0.48,0.954456723246
130,0.775,0.5,0.952521465193
131,0.691666666667,1.61,0.97260177362
132,0.65,1.34,0.978981522306
133,0.558333333333,0.68,0.937807664861
134,0.491666666667,0.54,0.926957338018
135,0.441666666667,0.65,0.930652408129
136,0.733333333333,1.19,0.937410915996
137,0.458333333333,0.87,0.920385469886
138,1.01666666667,0.46,0.907490585125
139,0.758333333333,0.81,0.912160363461
140,0.683333333333,1.11,0.931213948347
141,0.375,0.61,0.934056812644
142,0.766666666667,0.77,0.918708832932
143,0.666666666667,0.48,0.916359865776
144,0.583333333333,0.65,0.918588300391
145,0.725,1.42,0.935520173567
146,0.508333333333,1.49,0.958025572547
147,0.466666666667,1.06,0.986433823697
148,0.691666666667,0.62,0.980555982311
149,0.541666666667,1.08,0.985573910328
150,0.658333333333,0.63,0.97154838516
151,0.85,0.51,0.955102664152
152,0.508333333333,0.54,0.934764499463
153,0.6,0.82,0.925716286688
154,0.675,0.67,0.9236878998
155,0.533333333333,0.67,0.921086287418
156,0.375,0.87,0.922295953472
157,0.775,0.78,0.92150549029
158,0.6,0.7,0.893383312517
159,0.758333333333,1.16,0.904501206281
160,0.516666666667,1.24,0.919093674304
161,0.691666666667,1.11,0.924851243007
162,0.775,1.45,0.934856751012
163,0.566666666667,0.76,0.928822054883
164,0.516666666667,1.16,0.942545439555
165,0.525,0.5,0.938150395281
166,0.675,0.73,0.946415565303
167,0.425,0.9,0.94925696698
168,0.575,0.98,0.969431982561
169,0.35,0.71,0.968793297415
170,0.816666666667,0.87,0.963347203144
171,0.558333333333,0.79,0.953444925209
172,0.558333333333,1.08,0.969330455109
173,0.9,1.56,0.974451339689
174,0.616666666667,0.71,0.961433936
175,0.7,1.26,0.9915569233
176,0.575,0.76,0.951219600412
177,0.608333333333,0.78,0.969215899531
178,0.516666666667,0.92,0.981216996593
179,0.658333333333,1.34,1.00342945832
180,0.658333333333,0.54,0.99089800107
181,0.625,1.63,1.01147901431
182,0.775,1.06,1.01261449781
183,0.825,1.13,1.02179104194
184,0.758333333333,0.59,0.988124821061
185,1.075,0.88,0.973620820975
186,0.583333333333,0.75,0.976189273335
187,1.1,0.74,0.970834066216
188,0.533333333333,0.78,0.967933436824
189,0.933333333333,0.72,0.962997895129
190,0.8,1.53,1.00262808387
