Day,EUR sales,USD sales,USD to EUR rate
61,1.43,0.68,1.0
62,1.03,0.77,0.979208830918
63,0.98,0.73,0.959326335692
64,0.87,0.67,0.941221474771
65,0.7,0.76,0.925685517452
66,0.65,0.58,0.913397459622
67,1.02,0.79,0.90489434837
68,0.71,0.6,0.900547810463
69,1.08,0.65,0.900547810463
70,1.04,1.04,0.90489434837
71,0.79,0.92,0.913397459622
72,0.65,1.0,0.925685517452
73,0.68,0.7,0.941221474771
74,0.72,0.88,0.959326335692
75,0.66,0.78,0.979208830918
76,0.69,1.29,1.0
77,0.65,0.93,1.02079116908
78,0.69,0.68,1.04067366431
79,0.65,1.04,1.05877852523
80,0.66,1.76,1.07431448255
81,0.68,0.75,1.08660254038
82,0.62,0.87,1.09510565163
83,0.68,0.91,1.09945218954
84,0.61,1.15,1.09945218954
85,0.92,1.06,1.09510565163
86,0.94,1.02,1.08660254038
87,1.07,0.67,1.07431448255
88,1.54,0.75,1.05877852523
89,1.09,0.66,1.04067366431
90,1.3,0.68,1.02079116908
91,0.89,0.71,1.0
92,1.07,0.76,0.979208830918
93,0.85,0.7,0.959326335692
94,0.96,0.7,0.941221474771
95,1.28,0.75,0.925685517452
96,0.89,0.63,0.913397459622
97,1.21,0.72,0.90489434837
98,0.88,0.74,0.900547810463
99,1.21,0.63,0.900547810463
100,1.25,0.96,0.90489434837
101,0.97,1.5,0.913397459622
102,0.67,0.99,0.925685517452
103,0.68,1.06,0.941221474771
104,0.65,1.26,0.959326335692
105,0.71,0.94,0.979208830918
106,0.66,1.1,1.0
107,0.67,0.75,1.02079116908
108,0.71,0.98,1.04067366431
109,0.62,0.71,1.05877852523
110,0.63,0.8,1.07431448255
111,0.7,0.88,1.08660254038
112,0.65,0.89,1.09510565163
113,0.59,0.77,1.09945218954
114,0.67,0.77,1.09945218954
115,0.98,0.91,1.09510565163
116,0.87,1.0,1.08660254038
117,0.83,0.68,1.07431448255
118,1.35,0.69,1.05877852523
119,1.09,0.73,1.04067366431
120,0.97,0.74,1.02079116908
121,0.97,0.67,1.0
122,1.09,0.65,0.979208830918
123,0.95,0.7,0.959326335692
124,1.06,0.76,0.941221474771
125,0.74,0.69,0.925685517452
126,0.91,0.7,0.913397459622
127,0.82,0.68,0.90489434837
128,0.94,0.7,0.900547810463
129,0.98,0.67,0.900547810463
130,1.21,1.04,0.90489434837
131,0.93,0.96,0.913397459622
132,0.68,1.05,0.925685517452
133,0.74,0.96,0.941221474771
134,0.68,1.03,0.959326335692
135,0.69,1.18,0.979208830918
136,0.7,0.99,1.0
137,0.65,1.06,1.02079116908
138,0.68,0.95,1.04067366431
139,0.64,0.8,1.05877852523
140,0.66,1.16,1.07431448255
141,0.71,0.81,1.08660254038
142,0.7,1.15,1.09510565163
143,0.62,0.91,1.09945218954
144,0.67,0.62,1.09945218954
145,0.87,0.94,1.09510565163
146,0.94,1.05,1.08660254038
147,0.96,0.66,1.07431448255
148,1.14,0.67,1.05877852523
149,1.07,0.69,1.04067366431
150,1.16,0.73,1.02079116908
151,0.94,0.73,1.0
152,0.82,0.68,0.979208830918
153,0.83,0.73,0.959326335692
154,1.01,0.65,0.941221474771
155,0.87,0.75,0.925685517452
156,1.08,0.68,0.913397459622
157,0.83,0.66,0.90489434837
158,0.78,0.67,0.900547810463
159,0.77,0.63,0.900547810463
160,0.99,0.99,0.90489434837
161,0.87,0.95,0.913397459622
162,0.7,1.22,0.925685517452
163,0.66,0.79,0.941221474771
164,0.7,0.51,0.959326335692
165,0.7,1.03,0.979208830918
166,0.73,1.01,1.0
167,0.76,1.03,1.02079116908
168,0.7,1.17,1.04067366431
169,0.7,0.98,1.05877852523
170,0.72,0.83,1.07431448255
171,0.63,0.48,1.08660254038
172,0.71,0.93,1.09510565163
173,0.68,0.91,1.09945218954
174,0.7,1.11,1.09945218954
175,1.0,1.03,1.09510565163
176,1.27,0.85,1.08660254038
177,1.18,0.68,1.07431448255
178,1.02,0.74,1.05877852523
179,0.88,0.7,1.04067366431
180,1.37,0.71,1.02079116908
181,1.24,0.68,1.0
182,1.33,0.69,0.979208830918
183,0.8,0.71,0.959326335692
184,1.1,0.65,0.941221474771
185,1.19,0.71,0.925685517452
186,0.92,0.7,0.913397459622
187,0.99,0.68,0.90489434837
188,0.94,0.66,0.900547810463
189,1.0,0.67,0.900547810463
190,0.88,0.98,0.90489434837
191,1.04,1.11,0.913397459622
192,0.75,1.08,0.925685517452
193,0.76,1.36,0.941221474771
194,0.67,0.81,0.959326335692
195,0.65,0.97,0.979208830918
196,0.72,1.12,1.0
197,0.74,1.2,1.02079116908
198,0.77,0.97,1.04067366431
199,0.74,0.88,1.05877852523
200,0.69,0.91,1.07431448255
201,0.66,0.94,1.08660254038
202,0.61,0.91,1.09510565163
203,0.72,1.1,1.09945218954
204,0.63,0.71,1.09945218954
205,1.0,0.83,1.09510565163
206,1.03,0.87,1.08660254038
207,1.25,0.63,1.07431448255
208,0.87,0.71,1.05877852523
209,1.17,0.7,1.04067366431
210,1.06,0.67,1.02079116908
211,0.97,0.67,1.0
212,1.11,0.65,0.979208830918
213,1.23,0.72,0.959326335692
214,0.83,0.7,0.941221474771
215,1.06,0.76,0.925685517452
216,0.85,0.75,0.913397459622
217,0.92,0.65,0.90489434837
218,0.77,0.65,0.900547810463
219,0.84,0.7,0.900547810463
220,1.05,1.07,0.90489434837
221,0.95,1.29,0.913397459622
222,0.66,1.27,0.925685517452
223,0.68,0.96,0.941221474771
224,0.75,1.29,0.959326335692
225,0.74,1.2,0.979208830918
226,0.7,0.96,1.0
227,0.63,1.04,1.02079116908
228,0.69,1.22,1.04067366431
229,0.69,1.11,1.05877852523
230,0.67,0.9,1.07431448255
231,0.6,1.15,1.08660254038
232,0.72,1.27,1.09510565163
233,0.72,1.2,1.09945218954
234,0.72,0.97,1.09945218954
235,0.89,1.23,1.09510565163
236,1.34,1.23,1.08660254038
237,1.26,0.81,1.07431448255
238,1.37,0.75,1.05877852523
239,0.94,0.72,1.04067366431
240,0.94,0.64,1.02079116908
241,1.07,0.7,1.0
242,0.95,0.69,0.979208830918
243,0.98,0.68,0.959326335692
244,0.87,0.72,0.941221474771
245,0.77,0.65,0.925685517452
246,1.02,0.69,0.913397459622
247,0.86,0.67,0.90489434837
248,1.05,0.7,0.900547810463
249,1.05,0.68,0.900547810463
250,0.95,0.95,0.90489434837
251,0.84,0.95,0.913397459622
252,0.67,1.09,0.925685517452
253,0.7,1.26,0.941221474771
254,0.69,1.0,0.959326335692
255,0.69,0.87,0.979208830918
256,0.72,1.42,1.0
257,0.67,1.09,1.02079116908
258,0.67,0.85,1.04067366431
259,0.74,0.78,1.05877852523
260,0.75,0.71,1.07431448255
261,0.64,0.83,1.08660254038
262,0.62,0.54,1.09510565163
263,0.77,0.76,1.09945218954
264,0.68,0.87,1.09945218954
265,0.96,1.18,1.09510565163
266,1.15,0.91,1.08660254038
267,1.06,0.76,1.07431448255
268,0.94,0.68,1.05877852523
269,1.3,0.63,1.04067366431
270,1.2,0.71,1.02079116908
271,0.9,0.64,1.0
272,1.01,0.69,0.979208830918
273,1.08,0.72,0.959326335692
274,1.01,0.62,0.941221474771
275,0.93,0.68,0.925685517452
276,0.63,0.78,0.913397459622
277,0.83,0.68,0.90489434837
278,0.95,0.68,0.900547810463
279,1.01,0.7,0.900547810463
280,0.84,0.95,0.90489434837
281,0.79,1.18,0.913397459622
282,0.66,1.15,0.925685517452
283,0.76,1.58,0.941221474771
284,0.72,0.73,0.959326335692
285,0.64,1.1,0.979208830918
286,0.81,1.17,1.0
287,0.7,1.12,1.02079116908
288,0.74,1.1,1.04067366431
289,0.65,0.8,1.05877852523
290,0.61,0.77,1.07431448255
291,0.73,1.05,1.08660254038
292,0.78,1.22,1.09510565163
293,0.59,1.27,1.09945218954
294,0.58,0.96,1.09945218954
295,0.93,0.98,1.09510565163
296,1.16,0.87,1.08660254038
297,0.93,0.67,1.07431448255
298,0.93,0.7,1.05877852523
299,1.22,0.73,1.04067366431
